"Accreditation status","Accredited(Expiry date)","Beds-Private beds (not publicly funded)","Beds-Publicly funded beds (short- and long-term)","Beds-Special Care Plus Unit beds","Beds-Total beds","Care Quality(BC Avg)-% of residents diagnosed with depression","Care Quality(BC Avg)-% of residents receiving depression medication","Care Quality(BC Avg)-% of residents receiving occupational therapy","Care Quality(BC Avg)-% of residents receiving physical therapy","Care Quality(BC Avg)-% of residents receiving recreation therapy","Care Quality(BC Avg)-Daily physical restraints","Care Quality(BC Avg)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility (not including special care unit))-% of residents diagnosed with depression","Care Quality(Facility (not including special care unit))-% of residents receiving depression medication","Care Quality(Facility (not including special care unit))-% of residents receiving occupational therapy","Care Quality(Facility (not including special care unit))-% of residents receiving physical therapy","Care Quality(Facility (not including special care unit))-% of residents receiving recreation therapy","Care Quality(Facility (not including special care unit))-Daily physical restraints","Care Quality(Facility (not including special care unit))-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Facility)-% of residents diagnosed with depression","Care Quality(Facility)-% of residents receiving depression medication","Care Quality(Facility)-% of residents receiving occupational therapy","Care Quality(Facility)-% of residents receiving physical therapy","Care Quality(Facility)-% of residents receiving recreation therapy","Care Quality(Facility)-Daily physical restraints","Care Quality(Facility)-Taken antipsychotics without a diagnosis of psychosis","Care Quality(Special Care Plus Unit)-% of residents diagnosed with depression","Care Quality(Special Care Plus Unit)-% of residents receiving depression medication","Care Quality(Special Care Plus Unit)-% of residents receiving occupational therapy","Care Quality(Special Care Plus Unit)-% of residents receiving physical therapy","Care Quality(Special Care Plus Unit)-% of residents receiving recreation therapy","Care Quality(Special Care Plus Unit)-Daily physical restraints","Care Quality(Special Care Plus Unit)-Taken antipsychotics without a diagnosis of psychosis","City/postal code","Complaints-Number of complaints","Complaints-Number of licensing complaints","Complaints-Number substantiated complaints","Complaints-Number substantiated licensing complaints","Contact for complaints","Councils","Current language(s) spoken by staff","Date of last inspection","Date of last licensing inspection","Facility","Food prepared and cooked on site","Food services provided by:","Funded Allied Health hours per resident per day","Funded nursing care hours per resident per day","Health authority","Incidents-Abuse/neglect(BC Avg / 100 beds)","Incidents-Abuse/neglect(Per 100 beds)","Incidents-Abuse/neglect(Total Number)","Incidents-Aggression between persons in care(BC Avg / 100 beds)","Incidents-Aggression between persons in care(Per 100 beds)","Incidents-Aggression between persons in care(Total Number)","Incidents-Disease outbreak or occurrence(BC Avg / 100 beds)","Incidents-Disease outbreak or occurrence(Per 100 beds)","Incidents-Disease outbreak or occurrence(Total Number)","Incidents-Fall with injury/Adverse event(BC Avg / 100 beds)","Incidents-Fall with injury/Adverse event(Per 100 beds)","Incidents-Fall with injury/Adverse event(Total Number)","Incidents-Food or other poisoning(BC Avg / 100 beds)","Incidents-Food or other poisoning(Per 100 beds)","Incidents-Food or other poisoning(Total Number)","Incidents-Medication error with adverse event(BC Avg / 100 beds)","Incidents-Medication error with adverse event(Per 100 beds)","Incidents-Medication error with adverse event(Total Number)","Incidents-Missing or wandering person(BC Avg / 100 beds)","Incidents-Missing or wandering person(Per 100 beds)","Incidents-Missing or wandering person(Total Number)","Incidents-Other injury(BC Avg / 100 beds)","Incidents-Other injury(Per 100 beds)","Incidents-Other injury(Total Number)","Incidents-Serious adverse events(Total)","Meetings held","Opened","Operator (name)","Personal spending account (comfort fund)","Phone number","Phone number of complaint contact","Reason for inspection","Reason for licensing inspection","Regulation/Legislation","Room Configuration-Multi-person rooms","Room Configuration-Private rooms","Room Configuration-Semi-private rooms","Service Included-Other fees","Service Included-Personal cable monthly service","Service Included-Personal internet monthly service","Service Included-Personal telephone monthly service","Street address","Total 2015/16 funded direct care hours per resident per day","Visitor parking (cost)"
"Info not available","Info not available","0","54","","54","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","23.4%","49.5%","Info not available","Info not available","0.4%","8.4%","45.9%","","","","","","","","Abbotsford, BC V2T 1C1","","Info not available","","Info not available","Info not available","Info not available","Info not available","","16 Aug 2016","Sherwood Crescent Manor Ltd.","Info not available","Info not available","Info not available","Info not available","Fraser Health","1.0","0.0","0","1.5","1.9","1","0.7","1.9","1","11.9","1.9","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Info not available","Info not available","The TCG Group","Info not available","(604) 853-7854","Info not available","","Follow-up","Community Care and Assisted Living Act","Info not available","Info not available","Info not available"," ","N/A","N/A","N/A","32073 Sherwood Cresc","Info not available","Info not available"
"Accredited","Yes (2013)","0","59","","59","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.4%","50.5%","1.4%","4.4%","1.0%","29.4%","31.6%","","","","","","","","Sechelt, BC V0N 3A0","","Info not available","","Info not available","Resident Care Coordinator / Manager","Separate and Combined Resident and Family Councils","German, Tagalog, French","","31 May 2016","Shorncliffe","Yes","Outside Contractor","0.25","3.04","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","1.7","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.7","1","","Scheduled as needed","1983","Vancouver Coastal Health","No","(604) 885-5126","(604) 885-5126 ext 223 / (604) 989-0669","","Routine","Community Care and Assisted Living Act","0","59","0","Personal Care fee for personal items","No","Yes","No","5847 Medusa Street","3.29","Yes (no fee)"
"Info not available","Yes (Oct 2018)","0","54","","54","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","37.4%","55.4%","Info not available","Info not available","3.6%","16.3%","23.4%","","","","","","","","Sidney, BC V8L 2X3","","1","","0","Director Care","Family","English, French, Spanish, Tagalog, German, Italian","","21 Oct 2016","Sidney Care Home","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","1.9","1","11.9","11.1","6","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1960","tcgcare","Yes","(250) 656-0121","(250) 656-0121 ext 1","","Routine","Community Care and Assisted Living Act","0","44","5","Hairdressing, podiatry, pharmacy","No","No","No","9888 Fifth St.","3.12","Yes (no fee)"
"Accredited","Yes (Oct 2018)","2","40","","42","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.8%","51.5%","2.3%","15.2%","57.3%","2.2%","49.7%","","","","","","","","Grand Forks, BC V0H 1H0","","3","","0","Community Manager","Separate Resident and Family","English","","17 Sep 2015","Silver Kettle Village","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","19.0","8","0.1","0.0","0","0.2","0.0","0","1.6","2.4","1","1.6","0.0","0","","Regular Schedule","2012","Golden Life Management Corp","Yes","(250) 442-0667","(250) 442-0667","","Monitoring","Community Care and Assisted Living Act","0","42","0"," ","No","No","No","2350 72nd Avenue","3.15","Yes (no fee)"
"Exemplary","Yes (Oct 2019)","0","130","","130","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.2%","47.8%","0.7%","1.3%","0.4%","31.6%","23.1%","","","","","","","","Prince George, BC V2M 2B3","","1","","0","General Manager","Separate Resident and Family","English","","25 Aug 2016","Simon Fraser Lodge","Yes","Operator","0.32","2.80","Northern Health","1.0","0.0","0","1.5","4.6","6","0.7","0.8","1","11.9","13.1","17","0.1","0.0","0","0.2","0.0","0","1.6","1.5","2","1.6","10.8","14","","Regular Schedule","1986","Buron Healthcare","Yes","(250) 563-3413","(250) 563-3413 ext 102","","Routine","Hospital Act","0","130","0"," ","No","No","No","2410 Laurier Cres.","3.12","Yes (no fee)"
"Commendation","Yes (Sep 2015)","0","28","","28","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","15.9%","53.2%","8.6%","20.2%","Info not available","Info not available","48.1%","","","","","","","","New Denver, BC V0G 1S0","","0","","0","Residential Care Coordinator / Manager","Separate and Combined Resident and Family Councils","English","","16 May 2016","Slocan Community Health Centre","Yes","Operator","0.30","2.90","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","7.1","2","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1979","Interior Health","Yes","(250) 358-7911","(250) 358-7911","","Monitoring","Community Care and Assisted Living Act","0","6","20","Transportation, specialty services","No","Yes","No","401 Galena Ave","3.20","Yes (no fee)"
"Exemplary","Yes (2016)","0","16","","16","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.9%","81.3%","Info not available","1.6%","Info not available","Info not available","22.3%","","","","","","","","Brentwood Bay, BC V8M 1H1","","Info not available","","Info not available","Manager","Combined Resident and Family Councils","English","","09 Aug 2016","Sluggett House","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","50.0","8","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2009","Beacon Community Services","Yes","(250) 544-0925","(250) 589-3354","","Follow-up","Community Care and Assisted Living Act","0","16","0"," ","Yes","No","No","1336 Marchant Rd.","2.75","Yes (no fee)"
"Accredited","Yes (May 2018)","1","150","","151","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","35.7%","43.5%","27.7%","1.5%","72.1%","0.8%","15.4%","","","","","","","","Kelowna, BC V1X 5X6","","17","","1","Louise Johnson / Jenny Reink","Separate and Combined Resident and Family Councils","English, German, Farsi, Spanish, Punjabi, Dutch, Tagalog","","24 Oct 2016","Spring Valley Care Centre Ltd.","Yes","Operator","0.35","2.80","Interior Health","1.0","0.0","0","1.5","0.7","1","0.7","0.0","0","11.9","11.3","17","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","6.0","9","","Regular Schedule","1979","Park Place Seniors Living Inc.","Yes","(250) 979-6000","(250) 979-6000","","Monitoring","Community Care and Assisted Living Act","0","114","8","Clothing labelling fee","Yes","Yes","Yes","355 Terai Court","3.15","Yes (no fee)"
"N/A","No","2","53","","55","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","44.1%","62.4%","1.9%","9.3%","1.9%","16.3%","43.2%","","","","","","","","Vancouver, BC V5Z 2G7","","Info not available","","Info not available","Executive Director / Director of Care","Separate and Combined Resident and Family Councils","English, Spanish, Tagalog, French Russian, Hungarian, Cantonese, Mandarin, Ukrainian","","15 Apr 2016","St. Judes Anglican Home","Yes","Operator","0.38","2.32","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","1.8","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1979","St. Jude's Anglican Home","Yes","(604) 874-3200","(604) 874-3200 ext 242 / (604) 874-3200 ext 227","","Routine","Community Care and Assisted Living Act","0","45","5"," ","No","Yes","No","810 West 27th Avenue","2.70","No (street parking available)"
"Accredited","Yes (2015)","0","49","","49","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","26.0%","48.3%","2.2%","6.8%","Info not available","17.6%","31.5%","","","","","","","","Sechelt, BC V0N 3A0","","Info not available","","Info not available","Resident Care Coordinator / Manager","Separate and Combined Resident and Family Councils","French, Tagalog","","17 May 2016","St. Mary’s Hospital – Totem Lodge ECU","Yes","Outside Contractor","0.22","2.92","Vancouver Coastal","1.0","0.0","0","1.5","2.0","1","0.7","2.0","1","11.9","4.1","2","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Scheduled as needed","1980","Vancouver Coastal Health","No","(604) 885-8602","(604) 885-8602","","Routine","Hospital Act","10","3","3","Personal Care fee for personal items","No","Yes","Yes","5544 Sunshine Coast Highway","3.14","Yes (no fee)"
"N/A","No","0","144","","144","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.9%","42.2%","20.3%","1.5%","41.8%","11.9%","22.2%","","","","","","","","Burnaby, BC V5J 5C2","","5","","3","Director of Care","Combined Resident and Family Councils","Farsi, Urdu, Hindi, Punjabi, Sendhi, Mandarin, Spanish, Cantonese, Polish, English","","05 Jul 2016","St. Michael’s Centre","Yes","Operator","0.38","2.96","Fraser Health","1.0","2.1","3","1.5","0.7","1","0.7","0.0","0","11.9","13.2","19","0.1","0.7","1","0.2","0.0","0","1.6","2.8","4","1.6","9.0","13","","Regular Schedule","1981","St. Michael's Centre Hospital Society","Yes","(604) 434-1323","(604) 412-2185","","Follow-up","Hospital Act","9","20","36"," ","No","Yes","No","7451 Sussex Avenue","3.34","Yes (no fee)"
"Exemplary","Yes (Nov 2017)","0","148","","148","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.6%","34.9%","2.5%","5.6%","3.2%","0.8%","22.2%","","","","","","","","Vancouver, BC V6H4J4","","Info not available","","Info not available","Site-Operations Leader","Resident only","English, Cantonese, Mandarin, Punjabi, Tagalog","","29 Jan 2016","St. Vincent’s Hospital-Brock Fahrni Pavilion","No","Outside Contractor","0.29","2.92","Vancouver Coastal","1.0","0.0","0","1.5","0.7","1","0.7","0.7","1","11.9","0.7","1","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","1980","Providence Health Care","Yes","(604) 806-9710","(604) 806-9705","","29 Jan 2016","Hospital Act","30","8","8","Haircuts, podiatry, lunch and coffee outings","No","No","No","4650 Oak St.","3.21","Yes (fee charged)"
"Exemplary","Yes (Nov 2017)","0","196","","196","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","19.8%","33.6%","16.1%","26.0%","4.2%","7.5%","20.2%","","","","","","","","Vancouver, BC V5X 4V4","","1","","1","Resident Care Manager","Separate Resident and Family","English, Hindi, Croatian, French, Punjabi, Italian, Mandarin, Spanish, Portuguese, Cantonese, Tagalog, Vietnamese","","03 Nov 16","St. Vincent’s Langara","Yes","Outside Contractor","0.29","2.87","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","3.6","7","0.1","0.0","0","0.2","0.0","0","1.6","0.5","1","1.6","0.5","1","","Regular Schedule","1991","Providence Health Care","Yes","(604) 325-4116","(604) 806-9755","","Routine","Hospital Act","41","16","8"," ","No","No","No","255 W 62nd Ave","3.16","Yes (no fee)"
"Exemplary","Yes (May 2018)","11","171","","182","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","27.6%","52.4%","1.0%","19.9%","12.9%","12.8%","38.2%","","","","","","","","Parksville, BC V9P 1M2","","7","","4","General Manager","Separate Resident and Family","English, French, Filipino, Russian, German, Dutch","","09 Aug 2016","Stanford Place","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","7.1","13","0.1","0.0","0","0.2","0.0","0","1.6","1.6","3","1.6","0.0","0","","Regular Schedule","2008","Retirement Concepts","Yes","(250) 951-0811","(250) 951-0811 ext 1116","","Complaint","Community Care and Assisted Living Act","0","172","5","Clothing labelling fee","No","No","No","250 Craig St","3.15","Yes (no fee)"
"Accredited","Yes (2018)","0","6","","6","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","10.0%","Info not available","Info not available","Info not available","Info not available","Info not available","Info not available","","","","","","","","Fort St. James, BC V0J 1P0","","Info not available","","Info not available","Head Nurse","No Councils","English, Carrier","","05 Apr 2012","Stuart Lake Hospital","Yes","Operator","Info not available","Info not available","Northern Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","N/A","1972","Northern Health","Yes","(250) 996-8201","(250) 996-8201 ext 2286","","Routine","Hospital Act","0","6","0"," ","Yes","Yes","No","600 Stuart Drive E","Info not available","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","53","","53","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","32.7%","59.9%","16.8%","16.9%","12.9%","7.4%","47.6%","","","","","","","","Vanderhoof, BC V0J 3A2","","1","","Unknown","Manager","Combined Resident and Family Council","English","","22 Jan 2015","Stuart Nechako Manor","Yes","Operator","Info not available","2.95","Northern Health","1.0","11.3","6","1.5","22.6","12","0.7","3.8","2","11.9","41.5","22","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","26.4","14","","Regular Schedule","2005","Northern Health","Yes","(250) 567-6282","(250) 567-6282","","Routine","Community Care and Assisted Living Act","0","45","4"," ","No","Yes","No","3277 Hospital Road","3.24","Yes (no fee)"
"Info not available","Yes (2018)","37","75","","112","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","19.5%","48.3%","12.2%","1.5%","50.8%","6.3%","37.3%","","","","","","","","Summerland, BC V0H 1Z4","","4","","1","General Manager","Separate Resident and Family","English, French, Punjabi","","31 Mar 2016","Summerland Seniors Village","Yes","Operator","0.35","2.80","Interior Health","1.0","2.7","3","1.5","0.9","1","0.7","0.0","0","11.9","8.9","10","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.8","2","","Regular Schedule","2006","Retirement Concepts Seniors Services Ltd.","Yes","(250) 404-0118","(250) 404-4400","","Monitoring","Community Care and Assisted Living Act","0","105","0"," ","No","Yes","Yes","12803 Atkinson Road","3.15","Yes (no fee)"
"Exemplary","Yes (May 2019)","0","100","","100","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","39.4%","59.1%","6.6%","2.2%","2.0%","7.0%","21.2%","","","","","","","","Kelowna, BC V1X 7W8","","2","","0","Administrator","Separate Resident and Family","English, German, Italian, Portuguese, Hungarian, Serbian, Bosnian, Croatian, Dutch, African languages","","31 Jul 2015","Sun Pointe Village","Yes","Outside Contractor","0.35","2.80","Interior Health","1.0","0.0","0","1.5","8.0","8","0.7","0.0","0","11.9","12.0","12","0.1","0.0","0","0.2","0.0","0","1.6","6.0","6","1.6","2.0","2","","Regular Schedule","2000","Baptist Housing Enhanced Living Communities","Yes","(250) 491-1400","(250) 491-1400 ext 7 / (250) 878-3970","","Monitoring","Community Care and Assisted Living Act","0","100","0","Hydro","No","No","No","700 Rutland Road N","3.15","Yes (no fee)"
"Exemplary","Yes (Apr 2018)","14","106","","120","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","17.2%","49.1%","13.4%","55.2%","60.6%","5.5%","26.6%","","","","","","","","Surrey, BC V3X 0B5","","2","","0","Director of Care Services","Separate Resident and Family Councils","English","","03 Oct 2016","Suncreek Village","Yes","Operator","0.35","2.67","Fraser Health","1.0","0.0","0","1.5","0.8","1","0.7","0.8","1","11.9","10.8","13","0.1","0.0","0","0.2","0.0","0","1.6","1.7","2","1.6","4.2","5","","Regular Schedule","2009","Daljit Gill","Info not available","(604) 591-5177","(504) 591-5177 ext 103","","Follow-up","Community Care and Assisted Living Act","0","120","0"," ","No","No","No","13687 62nd Avenue","3.03","Yes (no fee)"
"Accredited","Yes (2019)","0","51","","51","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.0%","31.0%","12.6%","28.0%","4.1%","9.2%","23.3%","","","","","","","","Oliver, BC V0H 1T0","","0","","0","Manager","Combined Resident and Family","English, Punjabi, German","","15 Sep 2016","Sunnybank Retirement Home","Yes","Operator","0.33","2.84","Interior Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","21.6","11","0.1","0.0","0","0.2","0.0","0","1.6","9.8","5","1.6","2.0","1","","Regular Schedule","1979","Interior Health","Yes","(250) 498-4951","(250) 485-8477","","Monitoring","Community Care and Assisted Living Act","0","51","0"," ","No","No","No","6553 Park Drive","3.17","Yes (no fee)"
"N/A","No","0","160","","160","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","20.4%","63.8%","5.3%","1.1%","8.3%","13.0%","37.0%","","","","","","","","Duncan, BC V9L 3P1","","23","","15","Info not available","Separate Resident and Family","Info not available","","29 Nov 2016","Sunridge Place – The Arbours","Yes","Operator","Info not available","Info not available","Vancouver Island","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","0.0","0","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","2008","Sunridge Seniors Community Partnership","Info not available","(250) 748-8048","Info not available","","Follow-up","Community Care and Assisted Living Act","0","160","0","Clothing labeling, specialty services","No","No","No","361 Bundock Ave","3.15","Info not available"
"Exemplary","Yes (Jun 2017)","4","100","","104","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","28.6%","47.9%","20.2%","0.9%","Info not available","4.1%","25.9%","","","","","","","","Kelowna, BC V1W 2R5","","4","","3","Manager","Separate Resident and Family","English, French, German, Spanish, Polish, Romanian, Portuguese, Tagalog, Filipino, Punjabi, Hindi, Cantonese, Mandarin, Russian, Ukranian, Indonesian, Creek, Thai, ASL","","25 Sep 2015","Sutherland Hills","Yes","Operator","0.35","2.80","Interior Health","1.0","1.9","2","1.5","0.0","0","0.7","0.0","0","11.9","12.5","13","0.1","0.0","0","0.2","0.0","0","1.6","1.0","1","1.6","1.0","1","","Regular Schedule","1979","Sutherland Hills Rest Home Ltd.","Yes","(250) 860-2330","(250) 860-2330","","Monitoring","Community Care and Assisted Living Act","0","94","5"," ","No","No","No","3081 Hall Rd","3.15","Yes (no fee)"
"Commendation","Yes (Oct 2018)","0","90","","90","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.1%","38.2%","Info not available","12.5%","8.3%","12.9%","26.5%","","","","","","","","Creston, BC V0B 1G4","","0","","0","Manager / Resident Care Coordinator","Separate and Combined Resident and Family Councils","English, German, Polish, Ukrainian, Russian, French","","16 Nov 2016","Swan Valley Lodge","Yes","Operator","0.35","2.95","Interior Health","1.0","0.0","0","1.5","2.2","2","0.7","1.1","1","11.9","16.7","15","0.1","0.0","0","0.2","0.0","0","1.6","6.7","6","1.6","6.7","6","","Regular Schedule","1995","Interior Health","Yes","(250) 428-2283","(250) 428-3623 / (250) 428-3647","","Monitoring","Hospital Act and Community Care and Assisted Living Act","0","90","0"," ","No","No","No","818 Vancouver St","3.30","Yes"
"Commendation","Yes (Apr 2018)","0","118","","118","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","13.0%","50.0%","Info not available","21.3%","19.5%","4.3%","30.2%","","","","","","","","Abbotsford, BC V2T 1N5","","3","","1","Executive Director","Separate Resident and Family","Hungarian, English, French, Dutch, High and Low German, Punjabi","","22 Aug 2016","Tabor Home","Yes","Operator","0.31","2.48","Fraser Health","1.0","0.0","0","1.5","0.8","1","0.7","1.7","2","11.9","6.8","8","0.1","0.0","0","0.2","0.0","0","1.6","0.8","1","1.6","0.0","0","","Regular Schedule","Info not available","Tabor Home Society","Yes","(604) 859-8715","(604) 859-8715 ext 102","","Routine","Community Care and Assisted Living Act","0","106","6","Clothing labelling fee","No","No","No","31944 Sunrise Cres","2.79","Yes (no fee)"
"Accredited","Yes (Oct 2019)","0","60","","60","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","22.8%","40.4%","8.7%","51.5%","Info not available","2.0%","20.0%","","","","","","","","Castlegar, BC V1N 2H7","","0","","0","Resident Care Coordinator / Manager","Separate and Combined Resident and Family Councils","English, French, Russian, Portuguese, German, Spanish","","18 Aug 2016","Talarico Place – Castlegar District Community Health Centre","Yes","Operator","0.39","2.77","Interior Health","1.0","1.7","1","1.5","1.7","1","0.7","1.7","1","11.9","13.3","8","0.1","0.0","0","0.2","0.0","0","1.6","3.3","2","1.6","1.7","1","","Regular Schedule","1991","Interior Health","Yes","(250) 365-7221","(250) 304-1278 / (250) 304-1218","","Monitoring","Community Care and Assisted Living Act","0","38","11"," ","No","No","No","709 10th Street","3.16","Yes (no fee)"
"Accredited","Yes (Jun 2018)","0","95","","95","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","25.5%","51.7%","2.8%","8.8%","8.4%","16.4%","16.8%","","","","","","","","Terrace, BC V8G 2W2","","Info not available","","Info not available","Site Coordinator / Resident Care Coordinator","Separate Resident and Family","English, Polish, Filipino, German, Vietnamese, Portuguese, French","","20 Oct 2016","Terrace View Lodge","Yes","Operator","Info not available","3.27","Northern Health","1.0","0.0","0","1.5","2.1","2","0.7","1.1","1","11.9","8.4","8","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","3.2","3","","Regular Schedule","1984","Northern Health","Yes","(250) 631-4180","(250) 631-4180 / (250) 631-4188","","Routine","Community Care andAssisted Living Act","0","95","0"," ","No","No","No","4707 Kerby Avenue","3.42","Yes (no fee)"
"Accredited","Yes (Apr 2018)","0","119","","119","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","16.1%","60.6%","12.8%","37.7%","64.0%","4.9%","26.4%","","","","","","","","Abbotsford, BC V2S 0B3","","0","","0","Resident Care Coordinator","Combined Resident and Family","Spanish, Italian, Arabic, French, Korean, Thai, Mandarin, Dutch, Africans, Punjabi, Polish, Japanese, Filipino, German, Swedish, Portuguese","","23 Nov 2015","The Cottage – Worthington Pavilion","No","Outside Contractor","0.31","3.14","Fraser Health","1.0","1.7","2","1.5","0.0","0","0.7","0.0","0","11.9","1.7","2","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","0.0","0","","Regular Schedule","Info not available","Fraser Health","Yes","(604) 870-7950","Cottage: (604) 807-7967 / Worthington: (604) 870-7996","","Routine","Hospital Act","24","11","6"," ","No","No","No","33457 Cottage Lane","3.44","Yes (no fee)"
"Commendation","Yes (Nov 2018)","0","100","","100","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","","","","","","","","21.3%","39.2%","0.3%","5.4%","83.2%","7.0%","13.4%","","","","","","","","Burnaby, BC V5J 3V6","","0","","0","Nurse Manager","Separate Resident and Family","Various","","30 Dec 2015","The Fair Haven United Church Home (Burnaby)","Yes","Operator","0.33","2.67","Fraser Health","1.0","0.0","0","1.5","0.0","0","0.7","0.0","0","11.9","16.0","16","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","1.0","1","","Regular Schedule","1994","Fair Haven United Church Homes Society","Yes","(604) 435-0525","(604) 435-0525 ext 304 or ext 320","","Routine","Community Care and Assisted Living Act","0","100","0","Clothing labelling fee, specialized wheelchairs, hairdressing","No","No","No","7557 Sussex Ave.","3.00","Yes (fee charged)"
"Commendation","Yes (Nov 2018)","0","82","19","101","23.9%","47.8%","7.6%","13.2%","27.9%","9.1%","26.9%","23.3%","47.1%","Info not available","6.6%","90.8%","12.8%","18.0%","","","","","","","","13.1%","74.2%","4.2%","Info not available","71.7%","2.6%","62.3%","Vancouver, BC V5S 1G7","","2","","0","Clinical Nurse Manager","Separate Resident and Family","Various","","28 Oct 2016","The Fair Haven United Church Home (Vancouver)","Yes","Operator","0.24","2.85","Vancouver Coastal","1.0","0.0","0","1.5","0.0","0","0.7","1.2","1","11.9","8.5","7","0.1","0.0","0","0.2","0.0","0","1.6","0.0","0","1.6","2.4","2","","Regular Schedule","1979","Fair Haven United Church Homes Society","Yes","(604) 433-2939","(604) 433-2939 ext 2232 or ext 2222","","Routine","Community Care and Assisted Living Act","0","89","6","Clothing labelling fee, specialized wheelchairs, hairdressing","No","No","No","2720 East 48th Ave.","3.09","Yes (no fee)"
